"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7808","Login Test with CSV Data: Valid login @datadriven","chromium","2026-05-16","failed","2026-05-16","","LoginDataDriven.spec.ts","",""
"","5734","User login test @master @sanity @regression","chromium","2026-05-16","failed","2026-05-16","","Login.spec.ts","",""
"","17799","Login Test with JSON Data: Invalid login @datadriven","chromium","2026-05-16","passed","2026-05-16","","LoginDataDriven.spec.ts","",""
"","13989","execute end-to-end test flow @end-to-end","chromium","2026-05-16","passed","2026-05-16","","EndTest.spec.ts","",""
"","12400","End to End test flow @end-to-end","chromium","2026-05-16","failed","2026-05-16","","EndtoEndTest.spec.ts","",""
"","10757","user registration page","chromium","2026-05-16","passed","2026-05-16","","AccountRegistration.spec.ts","",""
"","12068","execute end-to-end test flow @end-to-end","chromium","2026-05-16","passed","2026-05-16","","EndtoEndTest.spec.ts","",""
"","5382","Login Test with CSV Data: Invalid login @datadriven","chromium","2026-05-16","passed","2026-05-16","","LoginDataDriven.spec.ts","",""
"","17850","Login Test with JSON Data: Valid login @datadriven","chromium","2026-05-16","failed","2026-05-16","","LoginDataDriven.spec.ts","",""
"","8874","user registration page @master @sanity @regression","chromium","2026-05-16","passed","2026-05-16","","AccountRegistration.spec.ts","",""
